school,lat,lon,uhi_500m,uhi_1000m,rank_uhi_500m,rank_uhi_1000m
Carrboro Elementary,35.9149,-79.0786,20.8,22.0,4,3
Seawell Elementary,35.9404,-79.0789,11.5,10.3,9,8
Ephesus Elementary,35.9335,-79.0162,14.7,22.2,7,2
Estes Hills Elementary,35.9359,-79.0436,4.9,5.3,11,10
Frank Porter Graham Bilingue,35.8997,-79.0725,24.0,17.7,3,5
Glenwood Elementary,35.9063,-79.0266,27.4,18.6,2,4
McDougle Elementary,35.9297,-79.099011,17.0,9.4,5,9
Scroggs Elementary,35.8791,-79.0685,28.0,12.6,1,7
Rashkis Elementary,35.9144,-79.0081,16.7,15.4,6,6
Morris Grove Elementary,35.9665,-79.1023,5.5,2.8,10,11
Northside Elementary,35.917543,-79.063168,13.9,30.8,8,1
